date,store,product,category,units_sold,unit_price,revenue,stock_level,lead_time_days,is_promo,is_weekend,month,weekday
2021-01-01,Store_A,Biscuits,Food,103.0,30,3090,264,7,0,0,1,4
2021-01-01,Store_B,Biscuits,Food,124.0,30,3720,137,3,0,0,1,4
2021-01-01,Store_C,Biscuits,Food,142.0,30,4260,199,3,0,0,1,4
2021-01-01,Store_A,Chips,Food,98.0,20,1960,307,5,0,0,1,4
2021-01-01,Store_B,Chips,Food,83.0,20,1660,326,3,0,0,1,4
2021-01-01,Store_C,Chips,Food,84.0,20,1680,363,5,0,0,1,4
2021-01-01,Store_A,Soft Drinks,Beverage,141.0,40,5640,237,7,0,0,1,4
2021-01-01,Store_B,Soft Drinks,Beverage,214.0,40,8560,239,5,0,0,1,4
2021-01-01,Store_C,Soft Drinks,Beverage,184.0,40,7360,104,3,0,0,1,4
2021-01-01,Store_A,Juice,Beverage,85.0,60,5100,180,3,0,0,1,4
2021-01-01,Store_B,Juice,Beverage,68.0,60,4080,216,5,0,0,1,4
2021-01-01,Store_C,Juice,Beverage,83.0,60,4980,437,3,0,0,1,4
2021-01-01,Store_A,Shampoo,Personal Care,37.0,150,5550,389,7,0,0,1,4
2021-01-01,Store_B,Shampoo,Personal Care,38.0,150,5700,493,7,0,0,1,4
2021-01-01,Store_C,Shampoo,Personal Care,45.0,150,6750,84,5,0,0,1,4
2021-01-01,Store_A,Soap,Personal Care,73.0,50,3650,130,5,0,0,1,4
2021-01-01,Store_B,Soap,Personal Care,59.0,50,2950,439,5,0,0,1,4
2021-01-01,Store_C,Soap,Personal Care,79.0,50,3950,155,5,0,0,1,4
2021-01-01,Store_A,Rice (5kg),Grocery,,280,12320,319,7,0,0,1,4
2021-01-01,Store_B,Rice (5kg),Grocery,52.0,280,14560,353,7,0,0,1,4
2021-01-01,Store_C,Rice (5kg),Grocery,59.0,280,16520,257,3,0,0,1,4
2021-01-01,Store_A,Cooking Oil,Grocery,53.0,120,6360,387,7,0,0,1,4
2021-01-01,Store_B,Cooking Oil,Grocery,51.0,120,6120,301,3,0,0,1,4
2021-01-01,Store_C,Cooking Oil,Grocery,61.0,120,7320,90,3,0,0,1,4
2021-01-01,Store_A,Detergent,Household,48.0,90,4320,212,7,0,0,1,4
2021-01-01,Store_B,Detergent,Household,49.0,90,4410,338,7,0,0,1,4
2021-01-01,Store_C,Detergent,Household,43.0,90,3870,90,7,0,0,1,4
2021-01-01,Store_A,Floor Cleaner,Household,32.0,70,2240,250,5,0,0,1,4
2021-01-01,Store_B,Floor Cleaner,Household,33.0,70,2310,111,3,0,0,1,4
2021-01-01,Store_C,Floor Cleaner,Household,31.0,70,2170,148,5,0,0,1,4
2021-01-02,Store_A,Biscuits,Food,131.0,30,3930,180,3,0,1,1,5
2021-01-02,Store_B,Biscuits,Food,148.0,30,4440,54,5,0,1,1,5
2021-01-02,Store_C,Biscuits,Food,135.0,30,4050,332,3,0,1,1,5
2021-01-02,Store_A,Chips,Food,101.0,20,2020,256,7,0,1,1,5
2021-01-02,Store_B,Chips,Food,110.0,20,2200,228,7,0,1,1,5
2021-01-02,Store_C,Chips,Food,99.0,20,1980,401,7,0,1,1,5
2021-01-02,Store_A,Soft Drinks,Beverage,329.0,40,13160,437,5,0,1,1,5
2021-01-02,Store_B,Soft Drinks,Beverage,219.0,40,8760,456,7,0,1,1,5
2021-01-02,Store_C,Soft Drinks,Beverage,294.0,40,11760,85,3,0,1,1,5
2021-01-02,Store_A,Juice,Beverage,93.0,60,5580,209,7,0,1,1,5
2021-01-02,Store_B,Juice,Beverage,90.0,60,5400,115,5,0,1,1,5
2021-01-02,Store_C,Juice,Beverage,93.0,60,5580,94,5,0,1,1,5
2021-01-02,Store_A,Shampoo,Personal Care,55.0,150,8250,77,5,0,1,1,5
2021-01-02,Store_B,Shampoo,Personal Care,51.0,150,7650,495,7,0,1,1,5
2021-01-02,Store_C,Shampoo,Personal Care,45.0,150,6750,280,5,0,1,1,5
2021-01-02,Store_A,Soap,Personal Care,83.0,50,4150,274,3,0,1,1,5
2021-01-02,Store_B,Soap,Personal Care,83.0,50,4150,165,3,0,1,1,5
2021-01-02,Store_C,Soap,Personal Care,72.0,50,3600,282,7,0,1,1,5
2021-01-02,Store_A,Rice (5kg),Grocery,75.0,280,21000,186,5,0,1,1,5
2021-01-02,Store_B,Rice (5kg),Grocery,72.0,280,20160,214,3,0,1,1,5
2021-01-02,Store_C,Rice (5kg),Grocery,,280,19880,364,5,0,1,1,5
2021-01-02,Store_A,Cooking Oil,Grocery,62.0,120,7440,209,3,0,1,1,5
2021-01-02,Store_B,Cooking Oil,Grocery,63.0,120,7560,491,5,0,1,1,5
2021-01-02,Store_C,Cooking Oil,Grocery,67.0,120,8040,344,5,0,1,1,5
2021-01-02,Store_A,Detergent,Household,51.0,90,4590,489,3,0,1,1,5
2021-01-02,Store_B,Detergent,Household,59.0,90,5310,236,3,0,1,1,5
2021-01-02,Store_C,Detergent,Household,55.0,90,4950,392,3,0,1,1,5
2021-01-02,Store_A,Floor Cleaner,Household,45.0,70,3150,273,3,0,1,1,5
2021-01-02,Store_B,Floor Cleaner,Household,51.0,70,3570,102,5,0,1,1,5
2021-01-02,Store_C,Floor Cleaner,Household,49.0,70,3430,209,5,0,1,1,5
2021-01-03,Store_A,Biscuits,Food,170.0,30,5100,172,3,0,1,1,6
2021-01-03,Store_B,Biscuits,Food,163.0,30,4890,304,5,0,1,1,6
2021-01-03,Store_C,Biscuits,Food,175.0,30,5250,247,5,0,1,1,6
2021-01-03,Store_A,Chips,Food,93.0,20,1860,444,7,0,1,1,6
